"count";"username";"datetime";"text"
"1169";"majid_yousefi007";"00:50:48 20-12-2020";"❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️"
"1170";"saman_boy111";"00:50:53 20-12-2020";"@meri.mah.am_7"
"1171";"saman_boy111";"00:50:57 20-12-2020";"@samanibaba88"
"1172";"video_clip_funn";"00:50:58 20-12-2020";"خدا قوت تنتون سلامت😉🙌💛"
"1173";"saman_boy111";"00:51:04 20-12-2020";"@arnika._n1"
"1174";"saman_boy111";"00:51:35 20-12-2020";"@z.nouri.5962"
"1175";"becha_toghchi";"00:51:43 20-12-2020";"قدردان زحماتتون هستیم مرسی که💙 هسین و شاد و سلامت باشید"
"1176";"saman_boy111";"00:51:45 20-12-2020";"@zari.n54"
"1177";"saman_boy111";"00:51:50 20-12-2020";"@elly_6_3"
"1178";"saman_boy111";"00:51:55 20-12-2020";"@atena42924"
"1179";"becha_toghchi";"00:52:00 20-12-2020";"درود به شرفتون💙"
"1180";"saman_boy111";"00:52:03 20-12-2020";"@z.a.h.r.a.zahra"
"1181";"saman_boy111";"00:52:08 20-12-2020";"@miss_sama.582"
"1182";"saman_boy111";"00:52:14 20-12-2020";"@foruzaaaan_8"
"1183";"saman_boy111";"00:52:18 20-12-2020";"@hasti_foroz"
"1184";"farangesi";"00:53:17 20-12-2020";"تنتون سلامت و لبتون خندون باشه💛"
"1185";"saman_boy111";"00:53:47 20-12-2020";"@gh.b1355__"
"1186";"hamidramesh110";"00:53:50 20-12-2020";"پرستارهای فداکار ان شاء الله هم شما و خانواده تان در پناه ایزد منان سلامت باشین"
"1187";"saman_boy111";"00:53:56 20-12-2020";"@tak.setareh__"
"1188";"itsnawri_";"00:53:58 20-12-2020";"فرشتگان‌بی‌بال‌خدا‌روی‌زمین‌...روز‌به‌روز‌بیشتر‌شرمنده‌زحمت‌هاتون‌میشیم...تبریک‌تنها‌کاری‌هست‌که‌از‌دستمون‌برمیاد.....روزتون‌مبارک❤️❤️❤️❤️❤️❤️"
